tag,tray,tray.rep,treatment,block,family,population,uline,dateplanted,shoot,root,survival,daysharvest,leaf_atharvest,height_atharvest,branches_atharvest,datedeathmiss,daysdeath,noddatamiss,totalwhite,totalred,totalnod,contaminated_nfixing_nodules
1435,49,5,R,4,F227,F2,31,18-Oct-11,79.5,9.05,1,100,11,9NA2,1,0,NA,1,NA,NA,NA,NA
892,31,26,Mix,3,HTD32,HTD,52,18-Oct-11,20,9.1,1,98,9,3NA9,1,0,NA,0,59,84,143,NA
193,7,19,Mix,1,RBE17,RBE,77,17-Oct-11,26.1,9.1,1,94,8,4NA2,1,0,NA,0,47,87,134,NA
2079,72,7,Mix,6,WT39,WT,112,19-Oct-11,26.7,9.1,1,102,9,4NA4,1,0,NA,0,74,63,137,NA
2417,82,25,R,7,DE2,DE,13,20-Oct-11,31.2,9.1,1,102,9,5NA5,1,0,NA,0,14,134,148,NA
1124,39,10,Mix,4,WR22,WR,96,18-Oct-11,28,9.12,1,135,12,2NA5,1,0,NA,0,78,96,174,NA
2424,82,32,R,7,HTR13,HTR,56,20-Oct-11,25,9.2,1,102,10,4NA7,1,0,NA,0,25,93,118,NA
2659,92,5,Mix,8,HTR15,HTR,58,21-Oct-11,26.7,9.2,1,102,9,4NA2,1,0,NA,0,58,80,138,NA
2358,80,30,Mix,7,HTD7,HTD,44,20-Oct-11,40.2,9.2,1,101,9,5NA1,1,0,NA,0,111,138,249,NA
1184,41,6,Mix,4,WT11,WT,103,18-Oct-11,24.6,9.3,1,99,10,5NA2,1,0,NA,0,20,27,47,NA
428,15,20,Mix,2,F227,F2,31,17-Oct-11,24.9,9.3,1,95,10,5NA2,1,0,NA,0,26,50,76,NA
499,17,27,Mix,2,AC15,AC,10,17-Oct-11,31,9.3,1,96,9,6,1,0,NA,0,25,34,59,NA
1929,66,13,R,6,RBE27,RBE,83,19-Oct-11,32,9.3,1,101,8,7,1,0,NA,0,4,42,46,NA
2511,86,27,R,7,HTD28,HTD,51,20-Oct-11,32.2,9.3,1,102,9,5,1,0,NA,0,15,57,72,NA
1922,66,6,R,6,F218,F2,26,19-Oct-11,34,9.3,1,101,11,7NA1,1,0,NA,0,1,20,21,NA
414,15,6,Mix,2,HTR14,HTR,57,17-Oct-11,19.6,9.4,1,95,8,4NA5,1,0,NA,0,8,25,33,NA
1972,68,10,Mix,6,FOR11,FOR,34,19-Oct-11,22,9.4,1,101,8,4NA6,1,0,NA,0,31,45,76,NA
2322,79,26,Mix,7,RBE43,RBE,88,20-Oct-11,25.7,9.4,1,101,10,3NA9,1,0,NA,0,108,121,229,NA
93,3,29,Mix,1,FOR15,FOR,35,17-Oct-11,26,9.4,1,94,7,6NA2,1,0,NA,0,77,58,135,NA
708,25,16,Mix,3,KA21,KA,70,18-Oct-11,29,9.4,1,97,9,5NA4,1,0,NA,0,44,61,105,NA
2836,98,8,Mix,8,KA5,KA,64,21-Oct-11,27.1,9.5,1,102,9,4NA4,1,0,NA,0,7,45,52,NA
1551,53,11,Mix,5,RBE40,RBE,87,19-Oct-11,31,9.5,1,100,12,4,1,0,NA,0,42,64,106,NA
2093,72,21,Mix,6,FOR26,FOR,38,19-Oct-11,20.2,9.6,1,102,10,4,1,0,NA,0,25,68,93,NA
289,11,5,R,1,KA5,KA,64,17-Oct-11,27.3,9.6,1,95,7,6NA2,1,0,NA,0,8,85,93,NA
625,22,11,Mix,2,AC3,AC,3,17-Oct-11,27.7,9.6,1,96,2,5NA8,1,0,30,0,149,86,235,NA
162,6,2,Mix,1,AC15,AC,10,17-Oct-11,38,9.6,1,94,9,7NA9,1,0,NA,0,61,62,123,NA
1801,61,23,Mix,5,F219,F2,27,19-Oct-11,23,9.7,1,100,11,4NA3,1,0,NA,0,45,104,149,NA
2300,79,4,Mix,7,FOR15,FOR,35,20-Oct-11,27.9,9.7,1,101,10,4NA1,1,0,NA,0,75,125,200,NA
999,35,9,Mix,3,HTD20,HTD,48,18-Oct-11,29,9.7,1,99,9,4NA7,1,0,NA,0,63,46,109,NA
2336,80,8,Mix,7,KA21,KA,70,20-Oct-11,38.3,9.7,1,101,9,5NA1,1,0,NA,0,50,160,210,NA
209,8,3,R,1,F218,F2,26,17-Oct-11,24.4,9.8,1,94,6,8,1,0,NA,0,1,37,38,NA
