"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.01164169075072,0.410239754593585,2.46597673536767,0.0205781650938079,0.89962340278517,0.342084200904243,2.62983031781989,0.014160971425451
"stand_nod",1.11315823544932,1.00087122623038,1.11218926698678,0.276235130681882,0.977727264373414,0.834590577337535,1.17150527566763,0.252020018655492
"(Intercept)",2.44731502562443,0.676137625255304,3.61955160341852,0.00125041249741893,2.0016802071771,0.999768598896107,2.0021435053944,0.0558032500472997
"stand_nod",0.901136109103157,1.75063827811889,0.514747175568131,0.611078168183896,-0.976740030896328,2.58857533305878,-0.377327257361356,0.708992943438868
"(Intercept)",0.225469584683274,0.262465912786406,0.859043303146039,0.398167773931431,0.183134286915929,0.181247328448359,1.01041095879164,0.321609806113876
"stand_nod",0.0839986386976306,0.505801619848261,0.166070323623776,0.869386284522359,0.142050415004621,0.349284184559824,0.406690085849824,0.687564082282896
