"trait","crossingSum","heteroSum","Sum","perCross"
"fruits",0.0608089093861497,0.140238263824875,0.201047173211025,30.2460902160126
"leaves",0.270617210086417,0.228589700571361,0.499206910657778,54.2094278562449
"shoot",0.160236167861548,0.0081163277460989,0.168352495607647,95.1789679643274
