"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"stand_nod3",0.0017676154801336,1,0.000794120587986635,0.97759332368745,0.000661087364534296,1,0.000794120587985018,0.977593323687473,8.51433222158028,1,2.10959560632938,0.150548941293304,4.02026565341072,1,0.996100990423655,0.321465028103221
"I(stand_nod^2)3",0.277701241346307,1,0.124760320070222,0.724918676293781,0.103860134646496,1,0.124760320070222,0.724918676293781,4.70572504558908,1,1.16593722471946,0.2836978233206,6.94443642061032,1,1.72062261374083,0.193614059158806
"env3",12.7994792488948,2,2.8751530243124,0.0626456239765965,4.78699926493118,2,2.87515302431241,0.0626456239765965,1.65660122927255,2,0.205227995793696,0.814917452667265,2.87691179732934,2,0.356406135531125,0.70136761114057
"stand_nod:env3",0.92528624449281,2,0.207847482891765,0.812797242475026,0.346056623563065,2,0.207847482891767,0.812797242475025,3.17978067940857,2,0.393927038304263,0.675790360853415,7.86273890612142,2,0.974075183960239,0.382265795695383
"I(stand_nod^2):env3",0.828470924475482,2,0.186099812167456,0.83057291351829,0.30984773906512,2,0.186099812167455,0.83057291351829,4.54983280428615,2,0.563655906515348,0.571516585382392,6.8620918668658,2,0.850110054190592,0.431444058490923
"Residuals3",166.94084376547,75,NA,NA,62.435797648666,75,NA,NA,302.700154808162,75,NA,NA,302.700154808162,75,NA,NA
"(Intercept)4",12.6445889633197,1,3.30085835870823,0.0732387863161576,68.4220686660758,1,3.30085835870822,0.0732387863161578,63.1815740534173,1,13.3978530106696,0.000466209438810997,17.4780696995388,1,3.70628007062121,0.0579999114912189
"stand_nod4",0.0390415528558492,1,0.0101917615871117,0.919856170842317,0.211260628406535,1,0.0101917615871122,0.919856170842316,5.6504811449139,1,1.19820243406901,0.277184223447022,3.36535391768433,1,0.713633963596654,0.400926827039067
"I(stand_nod^2)4",0.478352387146174,1,0.12487345220156,0.724799148315447,2.58844791039428,1,0.12487345220157,0.724799148315437,1.44214403963696,1,0.305811213993079,0.58190666725468,4.19902957381521,1,0.890417528532401,0.348394072985655
"env4",5.94852582541432,2,0.776428607120794,0.463708120402176,32.1885071684899,2,0.776428607120796,0.463708120402176,3.89449954330667,2,0.412920485229034,0.663209958562124,2.83011310899576,2,0.30006722692471,0.741653552549092
"stand_nod:env4",0.584942495036046,2,0.0763493510822853,0.926564393819939,3.165225510862,2,0.0763493510822884,0.926564393819936,9.74193517128629,2,1.03290411342092,0.360979237825733,11.7213964758042,2,1.24277963484919,0.294454656748562
"I(stand_nod^2):env4",2.03209454578831,2,0.265238209269149,0.767739657004746,10.9960167903619,2,0.265238209269153,0.767739657004743,11.205747833894,2,1.18810717050362,0.310468080239289,13.8425103291664,2,1.4676740922286,0.23700329125557
"Residuals4",287.302292068088,75,NA,NA,1554.64263906311,75,NA,NA,353.684881468145,75,NA,NA,353.684881468145,75,NA,NA
